client timestamp,button,state,x,y
2161,NoButton,Move,759,536
2177,NoButton,Move,784,486
2194,NoButton,Move,807,446
2211,NoButton,Move,854,378
2227,NoButton,Move,883,346
2244,NoButton,Move,923,315
2261,NoButton,Move,955,296
2277,NoButton,Move,975,287
2294,NoButton,Move,1004,276
2311,NoButton,Move,1016,271
2327,NoButton,Move,1027,263
2344,NoButton,Move,1028,262
2361,NoButton,Move,1029,262
2506,Left,Pressed,1029,262
2575,Left,Released,1029,262
3125,NoButton,Move,1030,263
3130,NoButton,Move,1031,266
3161,NoButton,Move,1037,275
3194,NoButton,Move,1044,288
3227,NoButton,Move,1048,298
3278,NoButton,Move,1052,305
3327,NoButton,Move,1055,315
3377,NoButton,Move,1057,323
3411,NoButton,Move,1059,327
3420,Left,Pressed,1059,327
3624,Left,Drag,1059,329
3644,Left,Drag,1059,333
3661,Left,Drag,1059,340
3677,Left,Drag,1057,346
3694,Left,Drag,1052,364
3711,Left,Drag,1047,383
3728,Left,Drag,1044,392
3744,Left,Drag,1040,420
3761,Left,Drag,1039,431
3777,Left,Drag,1037,443
3794,Left,Drag,1037,448
3844,Left,Drag,1036,459
3861,Left,Drag,1036,462
3911,Left,Drag,1036,465
3944,Left,Drag,1036,469
3961,Left,Drag,1036,475
3977,Left,Drag,1036,483
3994,Left,Drag,1037,489
4011,Left,Drag,1037,492
4044,Left,Drag,1037,495
4115,Left,Drag,1037,498
4376,Left,Released,1037,498

